"EventID","layer","QID","r [cm]","phi [rad]","z [cm]","E[GeV]","px[GeV]","py[GeV]","pz[GeV]"
10,1,2,3.1,-2.4870967741935486,-2.6,572.66,-169.7,-130.03,-179.56
10,1,1,3.1,0.4629032258064516,-0.6,556.85,215.45,107.49,-45.96
10,2,2,5.05,-2.488118811881188,-4.24,572.66,-169.7,-130.03,-179.56
10,2,1,5.05,0.4623762376237624,-0.96,556.85,215.45,107.49,-45.96
10,3,2,8.85,-2.487570621468927,-7.44,572.66,-169.7,-130.03,-179.56
10,3,1,8.85,0.4627118644067797,-1.68,556.85,215.45,107.49,-45.96
10,4,2,12.25,-2.48734693877551,-10.28,572.66,-169.7,-130.03,-179.56
10,4,1,12.25,0.4624489795918367,-2.36,556.85,215.45,107.49,-45.96
10,5,2,29.9,-2.4871170568561873,-25.16,572.66,-169.7,-130.03,-179.56
10,5,1,29.9,0.46224080267558526,-5.76,556.85,215.45,107.49,-45.96
10,6,2,37.1,-2.4868571428571427,-31.240000000000002,572.66,-169.7,-130.03,-179.56
10,6,1,37.1,0.46207008086253365,-7.12,556.85,215.45,107.49,-45.96
10,7,2,44.3,-2.4867584650112864,-37.32,572.66,-169.7,-130.03,-179.56
10,7,1,44.3,0.46187810383747174,-8.52,556.85,215.45,107.49,-45.96
10,8,2,51.4,-2.4865642023346304,-43.32,572.66,-169.7,-130.03,-179.56
10,8,1,51.4,0.4617782101167315,-9.92,556.85,215.45,107.49,-45.96
11,1,1,3.1,2.2548387096774194,-3.44,946.05,-338.49,415.7,-598.03
11,1,2,3.1,-0.867741935483871,6.96,1482.61,368.22,-433.89,1274.48
11,2,1,5.05,2.2544554455445547,-5.64,946.05,-338.49,415.7,-598.03
11,2,2,5.05,-0.8673267326732673,11.32,1482.61,368.22,-433.89,1274.48
11,3,1,8.85,2.2542372881355934,-9.88,946.05,-338.49,415.7,-598.03
11,3,2,8.85,-0.8672316384180792,19.84,1482.61,368.22,-433.89,1274.48
11,4,1,12.25,2.254285714285714,-13.68,946.05,-338.49,415.7,-598.03
