"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
214,3.1,0.3064516129032258,-5.8,1,623
215,5.05,0.3485148514851485,-9.44,2,623
216,3.1,2.7048387096774196,-4.2,1,703
217,5.05,2.70990099009901,-6.8,2,703
218,8.85,2.7186440677966104,-11.96,3,703
219,12.25,2.726530612244898,-16.52,4,703
220,29.9,2.767190635451505,-40.4,5,703
221,37.1,2.783784366576819,-50.160000000000004,6,703
222,44.3,2.8005101580135436,-59.92,7,703
223,51.4,2.8169066147859922,-69.56,8,703
224,3.1,-2.935483870967742,-10.32,1,706
225,5.05,-2.910891089108911,-16.84,2,706
226,8.85,-2.864406779661017,-29.52,3,706
227,12.25,-2.8224489795918366,-40.96,4,706
228,29.9,-2.5978729096989963,-101.92,5,706
229,37.1,-2.500787061994609,-128.24,6,706
230,44.3,-2.39934085778781,-155.92000000000002,7,706
231,51.4,-2.2910972762645914,-185.16,8,706
232,3.1,2.291935483870968,3.12,1,709
233,5.05,2.301980198019802,5.08,2,709
234,8.85,2.3225988700564972,8.92,3,709
235,12.25,2.340816326530612,12.32,4,709
236,29.9,2.436401337792642,30.2,5,709
237,37.1,2.4757681940700804,37.56,6,709
238,44.3,2.5153860045146725,45.,7,709
239,51.4,2.5548949416342412,52.4,8,709
240,3.1,1.1435483870967742,4.92,1,710
241,5.05,1.1396039603960397,8.,2,710
242,8.85,1.1305084745762712,14.040000000000001,3,710
243,12.25,1.1224489795918366,19.44,4,710
244,29.9,1.08038127090301,47.44,5,710
245,37.1,1.0631644204851751,58.92,6,710
246,44.3,1.0459413092550789,70.36,7,710
247,51.4,1.0289299610894942,81.72,8,710
248,3.1,0.4129032258064516,14.200000000000001,1,725
249,5.05,0.40792079207920795,23.12,2,725
250,8.85,0.39661016949152544,40.480000000000004,3,725
251,12.25,0.38653061224489793,56.08,4,725
252,29.9,0.3348829431438127,136.96,5,725
253,37.1,0.3137897574123989,170.08,6,725
254,44.3,0.2926455981941309,203.24,7,725
255,51.4,0.27173540856031125,236.08,8,725
256,3.1,-0.9822580645161291,-1.48,1,738
257,5.05,-0.9495049504950496,-2.4,2,738
258,8.85,-0.8864406779661017,-4.2,3,738
259,12.25,-0.8297959183673469,-5.84,4,738
260,29.9,-0.5173913043478261,-14.8,5,738
261,37.1,-0.37418328840970344,-18.92,6,738
262,44.3,-0.2133634311512415,-23.52,7,738
263,3.1,1.7145161290322581,-11.84,1,740
264,5.05,1.695049504950495,-19.32,2,740
265,8.85,1.6559322033898305,-33.88,3,740
266,12.25,1.620408163265306,-46.96,4,740
267,29.9,1.433685618729097,-116.24000000000001,5,740
268,37.1,1.354409703504043,-145.6,6,740
269,44.3,1.2725056433408577,-175.96,7,740
270,51.4,1.188214007782101,-207.20000000000002,8,740
271,3.1,-1.0338709677419355,6.36,1,758
272,5.05,-1.0316831683168317,10.32,2,758
273,8.85,-1.028813559322034,18.12,3,758
274,12.25,-1.0265306122448978,25.04,4,758
275,29.9,-1.0132909698996655,61.160000000000004,5,758
276,37.1,-1.0079029649595685,75.88,6,758
277,44.3,-1.0025778781038375,90.64,7,758
278,51.4,-0.9973112840466926,105.16,8,758
279,3.1,2.8161290322580643,10.36,1,768
280,5.05,2.791089108910891,16.88,2,768
281,8.85,2.7440677966101696,29.64,3,768
282,12.25,2.70204081632653,41.08,4,768
283,29.9,2.476086956521739,102.32000000000001,5,768
284,37.1,2.378350404312668,128.76,6,768
285,44.3,2.276004514672686,156.6,7,768
286,51.4,2.166805447470817,186.04,8,768
287,3.1,2.424193548387097,8.96,1,769
288,5.05,2.4386138613861386,14.6,2,769
289,8.85,2.466666666666667,25.64,3,769
290,12.25,2.491020408163265,35.480000000000004,4,769
291,29.9,2.6205016722408025,87.2,5,769
292,37.1,2.6742695417789752,108.68,6,769
293,44.3,2.728749435665914,130.48,7,769
294,51.4,2.7835019455252916,152.36,8,769
295,3.1,2.924193548387097,3.08,1,772
296,5.05,2.9712871287128713,5.,2,772
297,8.85,3.063276836158192,8.84,3,772
298,12.25,-3.1355102040816325,12.32,4,772
299,29.9,-2.63619397993311,33.,5,772
300,37.1,-2.3409595687331533,45.2,6,772
301,3.1,-2.8451612903225807,0.72,1,773
302,5.05,-2.8514851485148514,1.16,2,773
303,8.85,-2.8661016949152542,2.04,3,773
304,12.25,-2.8783673469387754,2.84,4,773
305,29.9,-2.9438996655518395,6.92,5,773
306,37.1,-2.9706469002695415,8.6,6,773
307,44.3,-2.9977562076749433,10.28,7,773
308,51.4,-3.0243463035019453,11.92,8,773
309,3.1,-0.09032258064516129,-1.96,1,775
310,5.05,-0.06732673267326733,-3.2,2,775
311,8.85,-0.022033898305084745,-5.6000000000000005,3,775
312,12.25,0.019183673469387753,-7.72,4,775
313,29.9,0.23697658862876253,-19.240000000000002,5,775
314,37.1,0.33111051212938003,-24.2,6,775
315,44.3,0.4289525959367945,-29.36,7,775
316,51.4,0.5329533073929961,-34.84,8,775
317,3.1,1.4951612903225806,-1.44,1,777
318,5.05,1.4841584158415841,-2.32,2,777
