EventID,TruthID,PID,layer,r,phi,z
0.,63,-211.,2,5.05,1.9772277227722772,-2.64
0.,63,-211.,3,8.85,1.9785310734463277,-4.68
0.,63,-211.,4,12.25,1.9804081632653059,-6.44
0.,63,-211.,5,29.9,1.9880334448160533,-15.76
0.,63,-211.,6,37.1,1.9912452830188676,-19.52
0.,63,-211.,7,44.3,1.9944875846501127,-23.32
0.,63,-211.,8,51.4,1.9975992217898833,-27.080000000000002
0.,64,-211.,1,3.1,1.9451612903225806,-1.48
0.,64,-211.,2,5.05,1.9465346534653465,-2.4
0.,64,-211.,3,8.85,1.948587570621469,-4.2
0.,64,-211.,4,12.25,1.950612244897959,-5.84
0.,64,-211.,5,29.9,1.9609698996655518,-14.24
0.,64,-211.,6,37.1,1.9651266846361184,-17.68
0.,64,-211.,7,44.3,1.9693905191873586,-21.080000000000002
0.,64,-211.,8,51.4,1.9735875486381322,-24.48
0.,65,211.,1,3.1,1.2854838709677419,-1.28
0.,65,211.,2,5.05,1.2673267326732673,-2.12
0.,65,211.,3,8.85,1.232768361581921,-3.68
0.,65,211.,4,12.25,1.2012244897959183,-5.12
0.,65,211.,5,29.9,1.0360334448160535,-12.6
0.,65,211.,6,37.1,0.9666630727762802,-15.76
0.,65,211.,7,44.3,0.8954356659142211,-19.
0.,65,211.,8,51.4,0.8228132295719844,-22.28
0.,66,211.,1,3.1,1.5661290322580645,-1.48
0.,66,211.,2,5.05,1.5633663366336634,-2.4
0.,66,211.,3,8.85,1.5593220338983051,-4.24
0.,66,211.,4,12.25,1.5559183673469386,-5.88
0.,66,211.,5,29.9,1.5363678929765885,-14.32
0.,66,211.,6,37.1,1.52844204851752,-17.76
0.,66,211.,7,44.3,1.5204063205417606,-21.240000000000002
0.,66,211.,8,51.4,1.512603112840467,-24.64
0.,67,-211.,1,3.1,1.5193548387096774,-1.8
0.,67,-211.,2,5.05,1.5198019801980198,-2.96
0.,67,-211.,3,8.85,1.5214689265536723,-5.2
0.,67,-211.,4,12.25,1.5228571428571427,-7.16
0.,67,-211.,5,29.9,1.5299999999999998,-17.52
0.,67,-211.,6,37.1,1.5329326145552558,-21.72
0.,67,-211.,7,44.3,1.5359864559819412,-25.92
0.,67,-211.,8,51.4,1.538863813229572,-30.080000000000002
0.,68,211.,1,3.1,1.5564516129032258,-2.68
0.,68,211.,2,5.05,1.5544554455445545,-4.36
0.,68,211.,3,8.85,1.5497175141242938,-7.68
0.,68,211.,4,12.25,1.5453061224489795,-10.6
0.,68,211.,5,29.9,1.5220401337792642,-25.92
0.,68,211.,6,37.1,1.512587601078167,-32.160000000000004
0.,68,211.,7,44.3,1.5032144469525959,-38.4
0.,68,211.,8,51.4,1.493817120622568,-44.56
0.,69,211.,1,3.1,1.6596774193548387,-1.16
0.,69,211.,2,5.05,1.6534653465346534,-1.8800000000000001
0.,69,211.,3,8.85,1.640677966101695,-3.3200000000000003
0.,69,211.,4,12.25,1.6289795918367345,-4.5600000000000005
