hit_id,r,phi,z,layer_id,particle_id
442,29.9,1.728086956521739,-20.96,5,1356
443,37.1,1.766808625336927,-26.080000000000002,6,1356
444,44.3,1.8058374717832955,-31.2,7,1356
445,51.4,1.8447315175097276,-36.32,8,1356
446,3.1,-2.117741935483871,-13.92,1,1372
447,5.05,-2.107920792079208,-22.68,2,1372
448,8.85,-2.0887005649717514,-39.76,3,1372
449,12.25,-2.071428571428571,-55.08,4,1372
450,29.9,-1.9816655518394648,-134.84,5,1372
451,37.1,-1.9446900269541776,-167.68,6,1372
452,44.3,-1.9074537246049659,-200.72,7,1372
453,51.4,-1.8703307392996107,-233.6,8,1372
454,3.1,1.2129032258064516,-6.5200000000000005,1,1431
455,5.05,1.193069306930693,-10.64,2,1431
456,8.85,1.1519774011299435,-18.68,3,1431
457,12.25,1.1151020408163264,-25.88,4,1431
458,29.9,0.9205016722408026,-64.12,5,1431
459,37.1,0.8377196765498651,-80.4,6,1431
460,44.3,0.7521444695259593,-97.24000000000001,7,1431
461,51.4,0.6629338521400778,-114.72,8,1431
462,3.1,-0.18548387096774194,18.04,1,1445
463,5.05,-0.1712871287128713,29.36,2,1445
464,8.85,-0.1440677966101695,51.52,3,1445
465,12.25,-0.11959183673469387,71.32000000000001,4,1445
466,29.9,0.008755852842809364,175.28,5,1445
467,37.1,0.06222641509433961,218.4,6,1445
468,44.3,0.11619864559819412,262.2,7,1445
469,51.4,0.17072762645914397,306.2,8,1445
470,3.1,0.18387096774193548,-2.8000000000000003,1,1450
471,5.05,0.19306930693069307,-4.5600000000000005,2,1450
472,8.85,0.2090395480225989,-7.96,3,1450
473,12.25,0.2236734693877551,-11.040000000000001,4,1450
474,29.9,0.29963210702341136,-26.96,5,1450
475,37.1,0.330743935309973,-33.52,6,1450
476,44.3,0.36210383747178326,-40.08,7,1450
477,51.4,0.3931828793774319,-46.64,8,1450
478,3.1,-2.32741935483871,-1.92,1,1451
479,5.05,-2.3405940594059405,-3.16,2,1451
480,8.85,-2.3666666666666667,-5.5200000000000005,3,1451
481,12.25,-2.3893877551020406,-7.68,4,1451
482,29.9,-2.508608695652174,-18.8,5,1451
483,37.1,-2.5577897574123987,-23.44,6,1451
484,44.3,-2.608022573363431,-28.12,7,1451
485,51.4,-2.6581517509727624,-32.8,8,1451
486,3.1,2.5661290322580643,-6.76,1,1481
487,5.05,2.5247524752475248,-11.040000000000001,2,1481
488,8.85,2.444632768361582,-19.44,3,1481
489,12.25,2.3718367346938773,-27.080000000000002,4,1481
490,29.9,1.9553979933110366,-70.60000000000001,5,1481
491,37.1,1.743164420485175,-92.8,6,1481
492,3.1,-1.1258064516129032,-2.36,1,1482
493,5.05,-1.103960396039604,-3.84,2,1482
494,8.85,-1.0627118644067797,-6.72,3,1482
495,12.25,-1.0253061224489795,-9.28,4,1482
