"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
377,8.85,1.7107344632768362,14.200000000000001,3,1405
378,12.25,1.757551020408163,19.72,4,1405
379,29.9,2.0106622073578593,49.36,5,1405
380,37.1,2.121654986522911,62.36,6,1405
381,44.3,2.2404695259593677,76.28,7,1405
382,51.4,2.369284046692607,91.36,8,1405
383,3.1,-1.7096774193548387,12.72,1,1406
384,5.05,-1.7247524752475247,20.76,2,1406
385,8.85,-1.7548022598870057,36.4,3,1406
386,12.25,-1.7820408163265304,50.4,4,1406
387,29.9,-1.9237859531772574,124.04,5,1406
388,37.1,-1.982630727762803,154.72,6,1406
389,44.3,-2.043223476297968,186.,7,1406
390,51.4,-2.103634241245136,217.52,8,1406
391,3.1,1.446774193548387,5.96,1,1519
392,5.05,1.4356435643564356,9.76,2,1519
393,8.85,1.4141242937853107,17.080000000000002,3,1519
394,12.25,1.393877551020408,23.64,4,1519
395,29.9,1.2902943143812708,57.96,5,1519
396,37.1,1.2473692722371965,72.12,6,1519
397,44.3,1.2043521444695258,86.4,7,1519
398,51.4,1.1609610894941633,100.68,8,1519
399,3.1,2.4516129032258065,13.24,1,1520
400,5.05,2.4544554455445544,21.56,2,1520
401,8.85,2.458757062146893,37.800000000000004,3,1520
402,12.25,2.4628571428571426,52.32,4,1520
403,29.9,2.483364548494983,127.76,5,1520
404,37.1,2.491805929919137,158.52,6,1520
405,44.3,2.5001896162528214,189.32,7,1520
406,51.4,2.5084591439688713,219.72,8,1520
407,3.1,0.6903225806451613,9.8,1,1522
408,5.05,0.6742574257425743,16.,2,1522
409,8.85,0.6429378531073446,28.04,3,1522
410,12.25,0.6155102040816326,38.84,4,1522
411,29.9,0.47054180602006684,95.56,5,1522
412,37.1,0.41010781671159025,119.2,6,1522
413,44.3,0.3484424379232505,143.36,7,1522
414,51.4,0.28622178988326846,167.72,8,1522
415,3.1,-0.3870967741935484,18.44,1,1525
416,5.05,-0.3594059405940594,30.080000000000002,2,1525
417,8.85,-0.30338983050847457,52.800000000000004,3,1525
418,12.25,-0.2530612244897959,73.28,4,1525
419,29.9,0.019331103678929765,184.08,5,1525
420,37.1,0.14067385444743932,233.28,6,1525
421,44.3,0.2716162528216704,286.68,7,1525
